回,問番号,科目,テーマ,テーマ出題数_10年,テーマ出題回数_10年,設問形式,計算問題,図構造式,選択肢数,問題文字数,問題文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正答,正答率,類題
102,14,生物,微生物,4,4,肯定形,,,5,26,真菌に関する記述のうち、正しいのはどれか。1つ選べ。,ミトコンドリアをもたない。,エルゴステロールを含む細胞膜をもつ。,葉緑体をもつ。,細胞壁をもたない。,原核生物に分類される。,2,,106-15 107-15 111-14
102,15,生物,免疫,8,7,肯定形,,○,5,34,初回の免疫により最も早期に分泌される抗体のクラスはどれか。1つ選べ。,IgA,IgD,IgE,IgG,IgM □ 6□,5,,103-14 104-15 105-15 108-13 108-15 109-15 111-13
102,16,衛生,食中毒・食品衛生,19,9,肯定形,,,,57,リノール酸において、変質の開始反応となる水素の引き抜きが最も起こりやすい部位はどこか。1つ選べ。 H3C CO2H,,,,,,3,,102-17 102-18 103-17 103-18 104-16 104-17 105-16 105-18 107-17 107-18 107-20 108-18 108-19 108-20 109-20 110-19 110-20 111-21
102,17,衛生,食中毒・食品衛生,19,9,肯定形,,,5,45,フェニルケトン尿症患者が摂取しないように気をつける必要のある食品添加物はどれか。1つ選べ。,アスパルテーム,アセスルファムカリウム,キシリトール,サッカリン,スクラロース,1,,102-16 102-18 103-17 103-18 104-16 104-17 105-16 105-18 107-17 107-18 107-20 108-18 108-19 108-20 109-20 110-19 110-20 111-21
102,18,衛生,食中毒・食品衛生,19,9,肯定形,,,5,43,ブタのレバーを生で食べることにより感染するリスクが最も高いウイルスはどれか。1つ選べ。,Ａ型肝炎ウイルス,Ｂ型肝炎ウイルス,Ｃ型肝炎ウイルス,Ｅ型肝炎ウイルス,ノロウイルス □ 7□,4,,102-16 102-17 103-17 103-18 104-16 104-17 105-16 105-18 107-17 107-18 107-20 108-18 108-19 108-20 109-20 110-19 110-20 111-21
102,19,衛生,感染症・予防接種,10,9,肯定形,,,5,43,母子感染する病原体のうち、新生児の心臓奇形と難聴のリスクを高めるのはどれか。1つ選べ。,ヒト T 細胞白血病ウイルス-1型（HTLV-1）,サイトメガロウイルス,風しんウイルス,トキソプラズマ原虫,梅毒トレポネーマ,3,,103-19 104-18 105-19 105-20 106-18 108-16 109-17 110-17 111-16
102,20,衛生,薬物乱用・依存,2,2,否定形,,,5,30,以下の疾患のうち生活習慣病に含まれないのはどれか。1つ選べ。,アルコール性肝疾患,脳血管疾患,歯周病,COPD（慢性閉塞性肺疾患),１型糖尿病,5,,107-21
102,21,衛生,化学物質の毒性・解毒,20,10,肯定形,,○,5,69,特殊健康診断で、作業者の尿中から下図の構造の物質が検出された。作業者が曝露されたと□えられる物質はどれか。1つ選べ。 H N CO2H O,アニリン,キシレン,スチレン,トルエン,ベンゼン □ 8□,4,,103-21 103-22 104-22 104-23 105-17 105-22 105-24 106-21 106-22 107-22 107-23 107-24 108-22 109-22 110-18 110-21 111-22 111-23 111-25
102,22,衛生,未分類,3,3,肯定形,,,5,45,生体内で起こる次の代謝反応のうち、シトクロム P450の寄与が小さいのはどれか。1つ選べ。,フェナセチンの O-脱アルキル化,N -アセチルアミノフルオレインの N -水酸化,パラチオンの酸化的脱硫化,四塩化炭素の還元的脱ハロゲン化,エタノールの酸化,5,,109-21 111-20
102,23,衛生,放射線・物理的環境要因,4,3,肯定形,,,5,37,赤外線の特徴や生体への影響に関する記述のうち、正しいのはどれか。1つ選べ。,紫外線に比べ、皮膚における透過性が低い。,可視光線に比べ、波長が短い。,ガラス工などの高温作業従事者における白内障の原因となる。,日焼けによる色素沈着の原因となる。,遠赤外線は殺菌灯に用いられる。,3,,109-23 109-24 110-22
102,24,衛生,環境衛生,22,10,肯定形,,,5,46,アスマン通風乾湿計と乾カタ温度計のみを用いて測定できる室内空気環境の指標はどれか。1つ選べ。,必要換気量,気動,熱輻射,湿カタ冷却力,補正感覚温度,2,,102-25 103-24 103-25 104-21 104-24 104-25 105-25 106-23 106-24 106-25 107-25 108-17 108-23 108-24 108-25 109-18 109-25 110-23 110-24 110-25 111-24
102,25,衛生,環境衛生,22,10,否定形,,,5,44,環境基本法で規定された以下の公害のうち、環境基準が設定されていないのはどれか。1つ選べ。,大気汚染,悪臭,騒音,土壌汚染,水質汚濁 □ 9□,2,,102-24 103-24 103-25 104-21 104-24 104-25 105-25 106-23 106-24 106-25 107-25 108-17 108-23 108-24 108-25 109-18 109-25 110-23 110-24 110-25 111-24
102,26,薬理,薬理学総論,9,5,肯定形,,○,,238,受容体刺激薬（アゴニスト）の結合部位に不可逆的に結合する遮断薬（アンタゴニスト）を加えることにより、アゴニストの用量-反応曲線が点線Ａから実線Ｂ のように変化した。正しいのはどれか。1つ選べ。ただし、余剰受容体はないものとする。反応率 (％) A B 反応率 (％) B A アゴニスト (対数用量) アゴニスト (対数用量) 反応率 (％) B A 反応率 (％) B A アゴニスト (対数用量) アゴニスト (対数用量) 反応率 (％) B A アゴニスト (対数用量),,,,,,3,,104-26 104-29 104-37 105-26 105-34 105-39 106-26 110-30
102,27,薬理,自律神経作用薬,38,10,肯定形,,,5,22,Ｇタンパク質共役型受容体はどれか。1つ選べ。,心房性ナトリウム利尿ペプチド（ANP）受容体,ストリキニーネ感受性グリシン受容体,ニコチン性アセチルコリン受容体,ヒスタミン H□受容体,インスリン受容体 □ 10□,4,,102-29 103-26 103-28 103-29 103-30 104-27 104-28 104-33 104-40 105-28 105-29 105-37 106-27 106-28 106-35 106-40 107-26 107-27 107-28 107-29 108-27 108-28 108-34 108-36 108-40 109-26 109-27 109-34 109-35 110-26 110-27 110-28 110-29 110-31 111-26 111-33 111-35
102,28,薬理,循環器作用薬,15,9,肯定形,,,5,43,シルデナフィルと硝酸薬の併用により増加し、血圧降下の主因となる物質はどれか。1つ選べ。,サイクリック AMP,サイクリック GM P,一酸化窒素（NO),イノシトール三リン酸（IP□),ジアシルグリセロール,2,,102-31 102-32 103-34 103-35 104-31 106-33 107-33 107-35 108-31 108-32 109-31 109-33 110-34 111-32
102,29,薬理,自律神経作用薬,38,10,肯定形,,,5,26,ナファゾリンの充血除去作用の機序はどれか。1つ選べ。,アドレナリン α□受容体刺激,アドレナリン α□受容体遮断,アドレナリン β□受容体刺激,アドレナリン β□受容体遮断,アドレナリン β□受容体刺激,1,,102-27 103-26 103-28 103-29 103-30 104-27 104-28 104-33 104-40 105-28 105-29 105-37 106-27 106-28 106-35 106-40 107-26 107-27 107-28 107-29 108-27 108-28 108-34 108-36 108-40 109-26 109-27 109-34 109-35 110-26 110-27 110-28 110-29 110-31 111-26 111-33 111-35
102,30,薬理,中枢神経作用薬,25,9,肯定形,,,5,39,GABA トランスアミナーゼを阻害し、抗てんかん作用を示すのはどれか。つ選べ。,ガバペンチン,エトスクシミド,ジアゼパム,ゾニサミド,バルプロ酸,5,,103-27 103-31 103-32 103-33 103-36 104-30 104-32 104-34 105-27 105-30 105-31 105-32 106-29 106-30 106-36 107-30 109-28 110-32 110-36 111-27 111-28 111-29 111-30 111-31
102,31,薬理,循環器作用薬,15,9,肯定形,,,5,35,Ca□□チャネル遮断作用により効果を示す抗不整脈薬はどれか。1つ選べ。,ソタロール,ベラパミル,リドカイン,ニフェカラント,ピルシカイニド □ 11□,2,,102-28 102-32 103-34 103-35 104-31 106-33 107-33 107-35 108-31 108-32 109-31 109-33 110-34 111-32
102,32,薬理,循環器作用薬,15,9,肯定形,,,5,51,K□チャネル開口作用と分子内からの一酸化窒素（NO）遊離作用を併せもつ狭心症治療薬はどれか。1つ選べ。,ニコランジル,ベプリジル,ミノキシジル,グリベンクラミド,硝酸イソソルビド,1,,102-28 102-31 103-34 103-35 104-31 106-33 107-33 107-35 108-31 108-32 109-31 109-33 110-34 111-32
102,33,薬理,内分泌・代謝薬,24,9,肯定形,,,5,33,トリクロルメチアジドにより血中濃度が低下するのはどれか。1つ選べ。,Ca□□,Na□,低密度リポタンパク質コレステロール（LDL-C),尿酸,グルコース,2,,102-35 102-36 103-37 103-38 103-39 105-36 105-38 106-31 106-32 106-34 106-37 107-32 107-38 107-39 108-37 108-38 108-39 109-36 109-37 110-37 111-37 111-38 111-40
102,34,薬理,未分類,9,6,肯定形,,,5,57,カテコール-O-メチルトランスフェラーゼ（COMT）を阻害し、Oddi括約筋を弛緩させる排胆薬はどれか。1つ選べ。,ポリエンホスファチジルコリン,グリチルリチン,ウルソデオキシコール酸,パパベリン,フロプロピオン,5,,104-35 105-33 107-34 107-40 108-26 109-30 109-32 109-38
102,35,薬理,内分泌・代謝薬,24,9,肯定形,,,5,28,ビルダグリプチンの血糖降下作用の機序はどれか。1つ選べ。,α-グルコシダーゼ阻害,ATP 感受性 K□チャネル遮断,アルドース還元酵素阻害,ジペプチジルペプチダーゼ-4（DPP-4）阻害,グリコーゲン合成酵素阻害 □ 12□,4,,102-33 102-36 103-37 103-38 103-39 105-36 105-38 106-31 106-32 106-34 106-37 107-32 107-38 107-39 108-37 108-38 108-39 109-36 109-37 110-37 111-37 111-38 111-40
102,36,薬理,内分泌・代謝薬,24,9,肯定形,,,5,21,チアマゾールの作用機序はどれか。1つ選べ。,甲状腺ホルモン受容体遮断,甲状腺ペルオキシダーゼ阻害,甲状腺刺激ホルモン（TSH）受容体遮断,副甲状腺ホルモン（パラトルモン）分泌抑制,カルシトニン分泌抑制,2,,102-33 102-35 103-37 103-38 103-39 105-36 105-38 106-31 106-32 106-34 106-37 107-32 107-38 107-39 108-37 108-38 108-39 109-36 109-37 110-37 111-37 111-38 111-40
102,37,薬理,血液・造血薬,5,5,肯定形,,,5,30,シロスタゾールの血小板凝集抑制作用の機序はどれか。1つ選べ。,プロスタノイド IP 受容体刺激,セロトニン5-HT□受容体遮断,シクロオキシゲナーゼ阻害,ホスホジエステラーゼ阻害,トロンボキサン合成酵素阻害,4,,104-36 108-33 110-35 111-34
102,38,薬理,炎症・アレルギー・免疫薬,5,4,肯定形,,,5,28,抗アレルギー薬エピナスチンの作用機序はどれか。1つ選べ。,ヒスタミン H□受容体遮断,トロンボキサン A□合成阻害,プロスタノイド TP 受容体遮断,プロスタグランジン E□合成阻害,プロスタノイド EP 受容体遮断,1,,104-38 108-29 108-30 109-29
102,39,薬理,抗菌・抗ウイルス・抗真菌薬,5,5,肯定形,,,5,22,ゲンタマイシンの作用機序はどれか。1つ選べ。,葉酸合成阻害,細胞壁合成阻害,タンパク質合成阻害,DNA 複製阻害,DNA から RNA への転写阻害 □ 13□,3,,104-39 109-39 110-39 111-39
102,40,薬理,抗がん薬・免疫,8,7,肯定形,,,5,26,抗腫瘍薬パクリタキセルの作用機序はどれか。1つ選べ。,DNA アルキル化,チューブリン脱重合阻害,アロマターゼ阻害,トポイソメラーゼ阻害,ピリミジン代謝阻害 □ 14□,2,,103-40 105-40 106-39 107-31 109-40 110-33 110-40
102,41,薬剤,排泄,7,7,肯定形,,,6,20,薬物の腸肝循環の経路はどれか。1つ選べ。,肝臓 → 門脈 → 胆管 → 腸管 → 肝臓,肝臓 → 門脈 → 腸管 → 胆管 → 肝臓,肝臓 → 胆管 → 門脈 → 腸管 → 肝臓,肝臓 → 胆管 → 腸管 → 門脈 → 肝臓,肝臓 → 腸管 → 門脈 → 胆管 → 肝臓6肝臓 → 腸管 → 胆管 → 門脈 → 肝臓,4,,104-45 106-45 107-46 108-45 109-45 110-45
102,42,薬剤,吸収・膜透過,28,10,肯定形,,,5,45,二次性能動輸送の駆動力となるイオン濃度勾配を形成する一次性能動輸送担体はどれか。1つ選べ。,"Na□,K□-ATPase",Na□/グルコース共輸送体,Na□/H□交換輸送体,P-糖タンパク質,H□/ペプチド共輸送体,1,,102-54 103-41 103-42 103-55 104-42 105-41 105-52 105-54 106-41 106-42 106-48 107-41 107-42 107-51 107-55 108-41 108-42 108-54 108-55 109-41 109-42 109-51 110-42 110-54 111-41 111-42 111-52
102,43,薬剤,代謝,14,10,肯定形,,○,,117,ヒドロキシ基を有する薬物（R-OH）のグルクロン酸抱合体を示す化学構造はどれか。1つ選べ。 O R O S OH O CO2H OH R O O HO OH O O R O CH3 O R CH3 O R H CO2H N □ 15□,,,,,,2,,103-44 103-45 104-44 104-55 105-43 105-44 106-44 107-44 108-44 108-47 109-44 110-44 111-44
102,44,薬剤,薬物動態パラメータ・計算,26,10,肯定形,○,○,,144,薬物を点滴静注したとき、定常状態における血中薬物濃度は2μg/mL であった。また、その時の尿中薬物濃度は200μg/mL であり、尿量は1mL/min であった。この薬物の腎クリアランス（mL/min）に最も近い値はどれか。1つ選べ。1 2 2 10 3 100 4 200 5 400,,,,,,3,,102-45 102-46 102-47 102-48 103-43 103-46 103-47 104-41 104-46 104-47 105-45 105-46 105-47 106-43 106-46 106-47 107-45 108-46 109-46 110-46 110-47 110-48 111-43 111-45 111-46
102,45,薬剤,薬物動態パラメータ・計算,26,10,肯定形,,,5,26,一般に、高齢者において増大するのはどれか。1つ選べ。,胃内容排出速度,血漿中アルブミン濃度,脂溶性薬物の体重あたりの分布容積,肝臓での薬物代謝活性,糸球体ろ過速度,3,,102-44 102-46 102-47 102-48 103-43 103-46 103-47 104-41 104-46 104-47 105-45 105-46 105-47 106-43 106-46 106-47 107-45 108-46 109-46 110-46 110-47 110-48 111-43 111-45 111-46
102,46,薬剤,薬物動態パラメータ・計算,26,10,肯定形,,,5,57,患者のクレアチニンクリアランスに基づいて投与設計が行われる治療薬物モニタリング（TDM）対象薬はどれか。1つ選べ。,テオフィリン,テイコプラニン,セファレキシン,シンバスタチン,リドカイン,2,,102-44 102-45 102-47 102-48 103-43 103-46 103-47 104-41 104-46 104-47 105-45 105-46 105-47 106-43 106-46 106-47 107-45 108-46 109-46 110-46 110-47 110-48 111-43 111-45 111-46
102,47,薬剤,薬物動態パラメータ・計算,26,10,肯定形,,,5,49,腎尿細管分泌過程に飽和がみられる薬物において、投与量の増大に伴い値が低下するのはどれか。1つ選べ。,血中濃度時間曲線下面積/投与量,腎クリアランス,消失半減期,平□滞留時間,血中非結合形分率 □ 16□,2,,102-44 102-45 102-46 102-48 103-43 103-46 103-47 104-41 104-46 104-47 105-45 105-46 105-47 106-43 106-46 106-47 107-45 108-46 109-46 110-46 110-47 110-48 111-43 111-45 111-46
102,48,薬剤,薬物動態パラメータ・計算,26,10,肯定形,,,,209,肝代謝と腎排泄により体内から消失する薬物について、全身クリアランス（CL□□□）、腎クリアランス（CL□）及び肝血流速度（Q□）から肝抽出率を算出する式はどれか。1つ選べ。 CL□□□ □□□ Q□ − CL□ CL□□□− CL□ □□□□□□□ Q□ Q□ □□□□□□□ CL□□□− CL□ 4 1− CL□□□− CL□ □□□□□□□ Q□ 5 1− Q□ □□□□□□□ CL□□□− CL□ □ 17□,,,,,,2,,102-44 102-45 102-46 102-47 103-43 103-46 103-47 104-41 104-46 104-47 105-45 105-46 105-47 106-43 106-46 106-47 107-45 108-46 109-46 110-46 110-47 110-48 111-43 111-45 111-46
102,49,薬剤,DDS・放出制御,7,5,肯定形,,○,5,160,下図のような拡散制御膜において、溶質分子が単位時間に透過する物質量と反比例の関係にあるのはどれか。1つ選べ。ドナー溶液膜レセプター溶液 □□□：ドナー溶液の濃度 □□：ドナー溶液と接する面の膜中濃度 □□：レセプター溶液と接する面の膜中濃度 □□□□：レセプター溶液の濃度 □□ □□□ 度濃の質溶 □□ □□□□ 厚さ,溶質の膜中での濃度差（C□− C□）,溶質の膜中での拡散係数,溶質の分配係数（C□/C□□）,膜の厚さ,膜の有効表面積,4,,106-55 109-55 110-53 110-55 111-54 111-55
102,50,薬剤,製剤材料の物性,35,10,肯定形,,,5,42,エマルションの分散媒と分散相の密度差により、分散相が浮上する現象はどれか。1つ選べ。,凝集,塩析,合一,クリーミング,ケーキング □ 18□,4,,102-51 102-52 102-53 103-48 103-49 103-51 103-54 104-50 104-51 104-53 104-54 105-48 105-50 106-49 106-50 106-52 107-48 107-49 108-49 108-50 108-52 108-53 109-49 109-50 109-52 109-53 110-49 110-50 110-51 110-52 111-48 111-49 111-50 111-51
102,51,薬剤,製剤材料の物性,35,10,肯定形,○,,5,42,以下のレオグラムのＡ点から求められるのはどれか。1つ選べ。度速断んせ A せん断応力,ヤング率,降伏値,チキソトロピー,動粘度,弾性率,2,,102-50 102-52 102-53 103-48 103-49 103-51 103-54 104-50 104-51 104-53 104-54 105-48 105-50 106-49 106-50 106-52 107-48 107-49 108-49 108-50 108-52 108-53 109-49 109-50 109-52 109-53 110-49 110-50 110-51 110-52 111-48 111-49 111-50 111-51
102,52,薬剤,製剤材料の物性,35,10,否定形,,,5,29,医薬品を造粒する目的として誤っているのはどれか。1つ選べ。,流動性の向上,含量□一性の改善,真密度の増大,充てん性の向上,発塵の防止,3,,102-50 102-51 102-53 103-48 103-49 103-51 103-54 104-50 104-51 104-53 104-54 105-48 105-50 106-49 106-50 106-52 107-48 107-49 108-49 108-50 108-52 108-53 109-49 109-50 109-52 109-53 110-49 110-50 110-51 110-52 111-48 111-49 111-50 111-51
102,53,薬剤,製剤材料の物性,35,10,肯定形,,,5,33,粉末Ｘ線回折測定法により評価される医薬品の物性はどれか。1つ選べ。,比表面積,空隙率,結晶性,吸湿性,旋光度,3,,102-50 102-51 102-52 103-48 103-49 103-51 103-54 104-50 104-51 104-53 104-54 105-48 105-50 106-49 106-50 106-52 107-48 107-49 108-49 108-50 108-52 108-53 109-49 109-50 109-52 109-53 110-49 110-50 110-51 110-52 111-48 111-49 111-50 111-51
102,54,薬剤,吸収・膜透過,28,10,肯定形,,,5,53,経口投与する固形製剤の著しい生物学的非同等性を防ぐことを目的として実施される一般試験法はどれか。1つ選べ。,制酸力試験法,製剤□一性試験法,崩壊試験法,溶出試験法,消化力試験法 □ 19□,4,,102-42 103-41 103-42 103-55 104-42 105-41 105-52 105-54 106-41 106-42 106-48 107-41 107-42 107-51 107-55 108-41 108-42 108-54 108-55 109-41 109-42 109-51 110-42 110-54 111-41 111-42 111-52
102,55,薬剤,製剤各論・製剤総則,13,8,肯定形,,,5,29,腸溶性製剤に関する記述のうち、適切なのはどれか。1つ選べ。,有効成分の血液中での分解を防ぐことができる。,有効成分の胃に対する刺激作用を低減できる。,体温によって溶融し、薬物を放出する。,ペプシン分解性の基剤でコーティングされている。,即放性製剤に分類される。 □ 20□,2,,103-50 103-52 103-53 104-49 104-52 105-53 106-53 106-54 107-52 107-53 109-54 111-53
102,56,病態・薬物治療,がん,13,9,肯定形,,○,5,27,乳がんの腫瘍マーカーとして有用なのはどれか。1つ選べ。,CA 15-3（carbohydrate antigen 15-3）,CYFRA 21-1（cytokeratin 19 fragment）,NSE（neuron specific enolase）,SCC（squamous cell carcinoma related antigen）,PIVKA- （protein induced by vitamin K absence or antagonist- ）,1,,102-63 102-66 103-56 104-59 104-65 105-57 105-59 106-67 107-67 108-56 110-68 111-67
102,57,病態・薬物治療,循環器疾患,14,6,肯定形,,,5,32,閉塞性動脈硬化症に関する記述のうち、正しいのはどれか。1つ選べ。,若い女性に好発する。,間欠性跛行が特徴的症状である。,上肢の動脈に多発する。,血管炎を伴う。,患肢に熱感がある。,2,,102-60 102-69 104-60 105-56 105-63 108-59 108-61 108-63 108-68 110-56 110-59 111-58 111-68
102,58,病態・薬物治療,免疫・膠原病・血液疾患,8,8,肯定形,,,5,26,汎血球減少症を呈する代表的な疾患はどれか。1つ選べ。,溶血性貧血,鉄欠乏性貧血,腎性貧血,再生不良性貧血,播種性血管内凝固症候群,4,,103-64 105-65 106-61 107-56 108-57 109-60 111-66
102,59,病態・薬物治療,代謝・内分泌疾患,15,7,肯定形,,,5,34,インスリン分泌を促進し、食後高血糖を改善する薬物はどれか。1つ選べ。,メトホルミン塩酸塩,ピオグリタゾン塩酸塩,ナテグリニド,ボグリボース,イプラグリフロジン L-プロリン □ 21□,3,,103-59 103-63 103-65 106-60 107-65 109-58 109-62 109-64 109-65 110-62 110-63 111-56 111-62 111-63
102,60,病態・薬物治療,循環器疾患,14,6,肯定形,,,5,26,パーキンソン病患者に特徴的な症状はどれか。1つ選べ。,躁状態,下痢,高血圧,上肢の筋弛緩,すくみ足,5,,102-57 102-69 104-60 105-56 105-63 108-59 108-61 108-63 108-68 110-56 110-59 111-58 111-68
102,61,病態・薬物治療,精神・神経疾患,16,8,肯定形,,,5,34,状況にかかわりなく漫然とした不安が持続する神経症はどれか。1つ選べ。,広場恐怖,強迫性障害,外傷後ストレス障害（PTSD),全般性不安障害,社会不安障害,4,,103-60 104-61 104-62 105-62 106-58 106-59 106-64 107-58 107-59 107-60 107-61 107-62 109-56 109-57 110-60
102,62,病態・薬物治療,呼吸器・アレルギー疾患,12,7,肯定形,,,5,34,アトピー性皮膚炎に関する記述のうち、最も適切なのはどれか。1つ選べ。,皮膚のバリア機能が亢進している。,対症療法が治療の中心となる。,湿疹は左右非対称にみられる。,おもに型アレルギーが関与している。,抗ヒスタミン薬が第１選択薬である。,2,,103-61 103-62 104-64 104-69 105-61 105-64 105-70 107-66 108-64 110-61 110-67
102,63,病態・薬物治療,がん,13,9,肯定形,,,5,37,がん性疼痛の病態及び薬物治療に関する記述のうち、正しいのはどれか。つ選べ。,速放性製剤のレスキュー投与は、突出痛に対して用いられる。,WHO方式がん疼痛治療法では、痛むときに素早く鎮痛薬を投与することを基本とする。,骨転移による限局的な鋭い痛みのほとんどは、神経障害性疼痛に分類される。,軽度の痛みであっても、アセトアミノフェンは用いない。,口腔粘膜吸収フェンタニル製剤は、過量投与による呼吸抑制を起こさない。 □ 22□,1,,102-56 102-66 103-56 104-59 104-65 105-57 105-59 106-67 107-67 108-56 110-68 111-67
102,64,病態・薬物治療,感染症,12,8,肯定形,,,5,36,単純ヘルペスウイルス感染症に関する記述のうち、正しいのはどれか。つ選べ。,性器感染の多くは、HSV-1による。,免疫機能亢進時に発症する。,性器ヘルペスは、性交の翌日に好発する。,成人の口唇ヘルペスの多くは、ウイルスの再活性化により発症する。,確定診断は、細胞診により行う。,4,,102-65 104-63 104-66 105-67 106-65 106-66 108-67 109-67 110-65 110-70 111-61
102,65,病態・薬物治療,感染症,12,8,肯定形,,,5,33,ウイルス性肝炎に関する記述のうち、最も適切なのはどれか。1つ選べ。,Ａ型は多くが慢性化しやすい。,Ｂ型は経口感染である。,Ｃ型は血液感染である。,Ｂ型は RNA ウイルスが原因である。,Ｃ型は DNA ウイルスが原因である。,3,,102-64 104-63 104-66 105-67 106-65 106-66 108-67 109-67 110-65 110-70 111-61
102,66,病態・薬物治療,がん,13,9,肯定形,,,5,29,後発医薬品の承認申請資料として必要なのはどれか。1つ選べ。,加速試験に関する資料,効力を裏付ける試験に関する資料,副次的薬理・安全性薬理に関する資料,反復投与毒性に関する資料,がん原性に関する資料 □ 23□,1,,102-56 102-63 103-56 104-59 104-65 105-57 105-59 106-67 107-67 108-56 110-68 111-67
102,67,病態・薬物治療,医薬品情報・EBM,11,7,肯定形,,,5,35,□患者向医薬品ガイド」に関する記述のうち、正しいのはどれか。1つ選べ。,厚生労働省が作成している。,処方箋医薬品では、すべての品目で作成される。,一般用医薬品についても作成されている。,PM DA の医薬品医療機器情報提供ホームページに掲載されている。,別名「くすりのしおり」ともよばれる。,4,,103-66 104-67 104-68 104-70 107-68 107-69 109-68 109-70 110-69 111-70
102,68,病態・薬物治療,臨床統計・研究デザイン,8,7,肯定形,,,5,28,t 分布に関する記述のうち、正しいのはどれか。1つ選べ。,平□値に対して左右非対称の分布である。,平□値は１である。,ガウス分布ともよばれる。,母集団の標準偏差が未知のときの統計解析に使用される。,順序尺度データの統計解析に使用される。,4,,103-67 105-68 105-69 106-70 108-70 109-69 111-69
