#separator:tab
#html:true
#columns:Front	Back	Tags
【第102回 問1】物理・分析の基礎・バリデーション<br><br>次の関係式のうち、正しいのはどれか。1つ選べ。<br><br>1. 1kHz ＝ 1× 10□Hz<br>2. 1nm ＝ 1× 10□□m<br>3. 1ppm ＝ 1× 10□□％<br>4. 1μg ＝ 1× 10□□g<br>5. 1w/v％ ＝ 1× 10□g/L	<b>正答：2</b><br>1nm ＝ 1× 10□□m<br><br>テーマ：分析の基礎・バリデーション（10年10問・6/10回）	薬剤師国家試験 必須問題 科目::物理 テーマ::分析の基礎_バリデーション 第102回
【第102回 問12】生物・未分類<br><br>ω６系列（n-6系列）の脂肪酸はどれか。1つ選べ。 H3C H3C H3C H3C H3C CO2H CO2H CO2H CO2H CO2H □ 5□<br><br>※図・構造式が必要な問題です	<b>正答：4</b><br><br>テーマ：未分類（10年6問・5/10回）	薬剤師国家試験 必須問題 科目::生物 テーマ::未分類 第102回
【第102回 問13】生物・遺伝子・分子生物学<br><br>真核細胞での mRNA のプロセシングによる成熟過程において、イントロンの除去に関わるのはどれか。1つ選べ。<br><br>1. スプライソソーム<br>2. ヌクレオソーム<br>3. オートファゴソーム<br>4. プロテアソーム<br>5. リソソーム	<b>正答：1</b><br>スプライソソーム<br><br>テーマ：遺伝子・分子生物学（10年10問・6/10回）	薬剤師国家試験 必須問題 科目::生物 テーマ::遺伝子_分子生物学 第102回
【第102回 問14】生物・微生物<br><br>真菌に関する記述のうち、正しいのはどれか。1つ選べ。<br><br>1. ミトコンドリアをもたない。<br>2. エルゴステロールを含む細胞膜をもつ。<br>3. 葉緑体をもつ。<br>4. 細胞壁をもたない。<br>5. 原核生物に分類される。	<b>正答：2</b><br>エルゴステロールを含む細胞膜をもつ。<br><br>テーマ：微生物（10年4問・4/10回）	薬剤師国家試験 必須問題 科目::生物 テーマ::微生物 第102回
【第102回 問15】生物・免疫　📐図・構造式<br><br>初回の免疫により最も早期に分泌される抗体のクラスはどれか。1つ選べ。<br><br>1. IgA<br>2. IgD<br>3. IgE<br>4. IgG<br>5. IgM □ 6□	<b>正答：5</b><br>IgM □ 6□<br><br>テーマ：免疫（10年8問・7/10回）	薬剤師国家試験 必須問題 科目::生物 テーマ::免疫 第102回 flag::図
【第102回 問16】衛生・食中毒・食品衛生<br><br>リノール酸において、変質の開始反応となる水素の引き抜きが最も起こりやすい部位はどこか。1つ選べ。 H3C CO2H<br><br>※図・構造式が必要な問題です	<b>正答：3</b><br><br>テーマ：食中毒・食品衛生（10年19問・9/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::食中毒_食品衛生 第102回
【第102回 問17】衛生・食中毒・食品衛生<br><br>フェニルケトン尿症患者が摂取しないように気をつける必要のある食品添加物はどれか。1つ選べ。<br><br>1. アスパルテーム<br>2. アセスルファムカリウム<br>3. キシリトール<br>4. サッカリン<br>5. スクラロース	<b>正答：1</b><br>アスパルテーム<br><br>テーマ：食中毒・食品衛生（10年19問・9/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::食中毒_食品衛生 第102回
【第102回 問18】衛生・食中毒・食品衛生<br><br>ブタのレバーを生で食べることにより感染するリスクが最も高いウイルスはどれか。1つ選べ。<br><br>1. Ａ型肝炎ウイルス<br>2. Ｂ型肝炎ウイルス<br>3. Ｃ型肝炎ウイルス<br>4. Ｅ型肝炎ウイルス<br>5. ノロウイルス □ 7□	<b>正答：4</b><br>Ｅ型肝炎ウイルス<br><br>テーマ：食中毒・食品衛生（10年19問・9/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::食中毒_食品衛生 第102回
【第102回 問19】衛生・感染症・予防接種<br><br>母子感染する病原体のうち、新生児の心臓奇形と難聴のリスクを高めるのはどれか。1つ選べ。<br><br>1. ヒト T 細胞白血病ウイルス-1型（HTLV-1）<br>2. サイトメガロウイルス<br>3. 風しんウイルス<br>4. トキソプラズマ原虫<br>5. 梅毒トレポネーマ	<b>正答：3</b><br>風しんウイルス<br><br>テーマ：感染症・予防接種（10年10問・9/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::感染症_予防接種 第102回
【第102回 問20】衛生・薬物乱用・依存　⚠️否定形<br><br>以下の疾患のうち生活習慣病に含まれないのはどれか。1つ選べ。<br><br>1. アルコール性肝疾患<br>2. 脳血管疾患<br>3. 歯周病<br>4. COPD（慢性閉塞性肺疾患)<br>5. １型糖尿病	<b>正答：5</b><br>１型糖尿病<br><br>テーマ：薬物乱用・依存（10年2問・2/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::薬物乱用_依存 第102回 flag::否定形
【第102回 問21】衛生・化学物質の毒性・解毒　📐図・構造式<br><br>特殊健康診断で、作業者の尿中から下図の構造の物質が検出された。作業者が曝露されたと□えられる物質はどれか。1つ選べ。 H N CO2H O<br><br>1. アニリン<br>2. キシレン<br>3. スチレン<br>4. トルエン<br>5. ベンゼン □ 8□	<b>正答：4</b><br>トルエン<br><br>テーマ：化学物質の毒性・解毒（10年20問・10/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::化学物質の毒性_解毒 第102回 flag::図
【第102回 問22】衛生・未分類<br><br>生体内で起こる次の代謝反応のうち、シトクロム P450の寄与が小さいのはどれか。1つ選べ。<br><br>1. フェナセチンの O-脱アルキル化<br>2. N -アセチルアミノフルオレインの N -水酸化<br>3. パラチオンの酸化的脱硫化<br>4. 四塩化炭素の還元的脱ハロゲン化<br>5. エタノールの酸化	<b>正答：5</b><br>エタノールの酸化<br><br>テーマ：未分類（10年3問・3/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::未分類 第102回
【第102回 問23】衛生・放射線・物理的環境要因<br><br>赤外線の特徴や生体への影響に関する記述のうち、正しいのはどれか。1つ選べ。<br><br>1. 紫外線に比べ、皮膚における透過性が低い。<br>2. 可視光線に比べ、波長が短い。<br>3. ガラス工などの高温作業従事者における白内障の原因となる。<br>4. 日焼けによる色素沈着の原因となる。<br>5. 遠赤外線は殺菌灯に用いられる。	<b>正答：3</b><br>ガラス工などの高温作業従事者における白内障の原因となる。<br><br>テーマ：放射線・物理的環境要因（10年4問・3/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::放射線_物理的環境要因 第102回
【第102回 問24】衛生・環境衛生<br><br>アスマン通風乾湿計と乾カタ温度計のみを用いて測定できる室内空気環境の指標はどれか。1つ選べ。<br><br>1. 必要換気量<br>2. 気動<br>3. 熱輻射<br>4. 湿カタ冷却力<br>5. 補正感覚温度	<b>正答：2</b><br>気動<br><br>テーマ：環境衛生（10年22問・10/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::環境衛生 第102回
【第102回 問25】衛生・環境衛生　⚠️否定形<br><br>環境基本法で規定された以下の公害のうち、環境基準が設定されていないのはどれか。1つ選べ。<br><br>1. 大気汚染<br>2. 悪臭<br>3. 騒音<br>4. 土壌汚染<br>5. 水質汚濁 □ 9□	<b>正答：2</b><br>悪臭<br><br>テーマ：環境衛生（10年22問・10/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::環境衛生 第102回 flag::否定形
【第102回 問26】薬理・薬理学総論　📐図・構造式<br><br>受容体刺激薬（アゴニスト）の結合部位に不可逆的に結合する遮断薬（アンタゴニスト）を加えることにより、アゴニストの用量-反応曲線が点線Ａから実線Ｂ のように変化した。正しいのはどれか。1つ選べ。ただし、余剰受容体はないものとする。反応率 (％) A B 反応率 (％) B A アゴニスト (対数用量) アゴニスト (対数用量) 反応率 (％) B A 反応率 (％) B A アゴニスト (対数用量) アゴニスト (対数用量) 反応率 (％) B A アゴニスト (対数用量)<br><br>※図・構造式が必要な問題です	<b>正答：3</b><br><br>テーマ：薬理学総論（10年9問・5/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::薬理学総論 第102回 flag::図
【第102回 問27】薬理・自律神経作用薬<br><br>Ｇタンパク質共役型受容体はどれか。1つ選べ。<br><br>1. 心房性ナトリウム利尿ペプチド（ANP）受容体<br>2. ストリキニーネ感受性グリシン受容体<br>3. ニコチン性アセチルコリン受容体<br>4. ヒスタミン H□受容体<br>5. インスリン受容体 □ 10□	<b>正答：4</b><br>ヒスタミン H□受容体<br><br>テーマ：自律神経作用薬（10年38問・10/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::自律神経作用薬 第102回
【第102回 問28】薬理・循環器作用薬<br><br>シルデナフィルと硝酸薬の併用により増加し、血圧降下の主因となる物質はどれか。1つ選べ。<br><br>1. サイクリック AMP<br>2. サイクリック GM P<br>3. 一酸化窒素（NO)<br>4. イノシトール三リン酸（IP□)<br>5. ジアシルグリセロール	<b>正答：2</b><br>サイクリック GM P<br><br>テーマ：循環器作用薬（10年15問・9/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::循環器作用薬 第102回
【第102回 問29】薬理・自律神経作用薬<br><br>ナファゾリンの充血除去作用の機序はどれか。1つ選べ。<br><br>1. アドレナリン α□受容体刺激<br>2. アドレナリン α□受容体遮断<br>3. アドレナリン β□受容体刺激<br>4. アドレナリン β□受容体遮断<br>5. アドレナリン β□受容体刺激	<b>正答：1</b><br>アドレナリン α□受容体刺激<br><br>テーマ：自律神経作用薬（10年38問・10/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::自律神経作用薬 第102回
【第102回 問30】薬理・中枢神経作用薬<br><br>GABA トランスアミナーゼを阻害し、抗てんかん作用を示すのはどれか。つ選べ。<br><br>1. ガバペンチン<br>2. エトスクシミド<br>3. ジアゼパム<br>4. ゾニサミド<br>5. バルプロ酸	<b>正答：5</b><br>バルプロ酸<br><br>テーマ：中枢神経作用薬（10年25問・9/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::中枢神経作用薬 第102回
【第102回 問31】薬理・循環器作用薬<br><br>Ca□□チャネル遮断作用により効果を示す抗不整脈薬はどれか。1つ選べ。<br><br>1. ソタロール<br>2. ベラパミル<br>3. リドカイン<br>4. ニフェカラント<br>5. ピルシカイニド □ 11□	<b>正答：2</b><br>ベラパミル<br><br>テーマ：循環器作用薬（10年15問・9/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::循環器作用薬 第102回
【第102回 問32】薬理・循環器作用薬<br><br>K□チャネル開口作用と分子内からの一酸化窒素（NO）遊離作用を併せもつ狭心症治療薬はどれか。1つ選べ。<br><br>1. ニコランジル<br>2. ベプリジル<br>3. ミノキシジル<br>4. グリベンクラミド<br>5. 硝酸イソソルビド	<b>正答：1</b><br>ニコランジル<br><br>テーマ：循環器作用薬（10年15問・9/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::循環器作用薬 第102回
【第102回 問33】薬理・内分泌・代謝薬<br><br>トリクロルメチアジドにより血中濃度が低下するのはどれか。1つ選べ。<br><br>1. Ca□□<br>2. Na□<br>3. 低密度リポタンパク質コレステロール（LDL-C)<br>4. 尿酸<br>5. グルコース	<b>正答：2</b><br>Na□<br><br>テーマ：内分泌・代謝薬（10年24問・9/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::内分泌_代謝薬 第102回
【第102回 問34】薬理・未分類<br><br>カテコール-O-メチルトランスフェラーゼ（COMT）を阻害し、Oddi括約筋を弛緩させる排胆薬はどれか。1つ選べ。<br><br>1. ポリエンホスファチジルコリン<br>2. グリチルリチン<br>3. ウルソデオキシコール酸<br>4. パパベリン<br>5. フロプロピオン	<b>正答：5</b><br>フロプロピオン<br><br>テーマ：未分類（10年9問・6/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::未分類 第102回
【第102回 問35】薬理・内分泌・代謝薬<br><br>ビルダグリプチンの血糖降下作用の機序はどれか。1つ選べ。<br><br>1. α-グルコシダーゼ阻害<br>2. ATP 感受性 K□チャネル遮断<br>3. アルドース還元酵素阻害<br>4. ジペプチジルペプチダーゼ-4（DPP-4）阻害<br>5. グリコーゲン合成酵素阻害 □ 12□	<b>正答：4</b><br>ジペプチジルペプチダーゼ-4（DPP-4）阻害<br><br>テーマ：内分泌・代謝薬（10年24問・9/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::内分泌_代謝薬 第102回
【第102回 問36】薬理・内分泌・代謝薬<br><br>チアマゾールの作用機序はどれか。1つ選べ。<br><br>1. 甲状腺ホルモン受容体遮断<br>2. 甲状腺ペルオキシダーゼ阻害<br>3. 甲状腺刺激ホルモン（TSH）受容体遮断<br>4. 副甲状腺ホルモン（パラトルモン）分泌抑制<br>5. カルシトニン分泌抑制	<b>正答：2</b><br>甲状腺ペルオキシダーゼ阻害<br><br>テーマ：内分泌・代謝薬（10年24問・9/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::内分泌_代謝薬 第102回
【第102回 問37】薬理・血液・造血薬<br><br>シロスタゾールの血小板凝集抑制作用の機序はどれか。1つ選べ。<br><br>1. プロスタノイド IP 受容体刺激<br>2. セロトニン5-HT□受容体遮断<br>3. シクロオキシゲナーゼ阻害<br>4. ホスホジエステラーゼ阻害<br>5. トロンボキサン合成酵素阻害	<b>正答：4</b><br>ホスホジエステラーゼ阻害<br><br>テーマ：血液・造血薬（10年5問・5/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::血液_造血薬 第102回
【第102回 問38】薬理・炎症・アレルギー・免疫薬<br><br>抗アレルギー薬エピナスチンの作用機序はどれか。1つ選べ。<br><br>1. ヒスタミン H□受容体遮断<br>2. トロンボキサン A□合成阻害<br>3. プロスタノイド TP 受容体遮断<br>4. プロスタグランジン E□合成阻害<br>5. プロスタノイド EP 受容体遮断	<b>正答：1</b><br>ヒスタミン H□受容体遮断<br><br>テーマ：炎症・アレルギー・免疫薬（10年5問・4/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::炎症_アレルギー_免疫薬 第102回
【第102回 問39】薬理・抗菌・抗ウイルス・抗真菌薬<br><br>ゲンタマイシンの作用機序はどれか。1つ選べ。<br><br>1. 葉酸合成阻害<br>2. 細胞壁合成阻害<br>3. タンパク質合成阻害<br>4. DNA 複製阻害<br>5. DNA から RNA への転写阻害 □ 13□	<b>正答：3</b><br>タンパク質合成阻害<br><br>テーマ：抗菌・抗ウイルス・抗真菌薬（10年5問・5/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::抗菌_抗ウイルス_抗真菌薬 第102回
【第102回 問40】薬理・抗がん薬・免疫<br><br>抗腫瘍薬パクリタキセルの作用機序はどれか。1つ選べ。<br><br>1. DNA アルキル化<br>2. チューブリン脱重合阻害<br>3. アロマターゼ阻害<br>4. トポイソメラーゼ阻害<br>5. ピリミジン代謝阻害 □ 14□	<b>正答：2</b><br>チューブリン脱重合阻害<br><br>テーマ：抗がん薬・免疫（10年8問・7/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::抗がん薬_免疫 第102回
【第102回 問41】薬剤・排泄　選択肢6<br><br>薬物の腸肝循環の経路はどれか。1つ選べ。<br><br>1. 肝臓 → 門脈 → 胆管 → 腸管 → 肝臓<br>2. 肝臓 → 門脈 → 腸管 → 胆管 → 肝臓<br>3. 肝臓 → 胆管 → 門脈 → 腸管 → 肝臓<br>4. 肝臓 → 胆管 → 腸管 → 門脈 → 肝臓<br>5. 肝臓 → 腸管 → 門脈 → 胆管 → 肝臓6肝臓 → 腸管 → 胆管 → 門脈 → 肝臓	<b>正答：4</b><br>肝臓 → 胆管 → 腸管 → 門脈 → 肝臓<br><br>テーマ：排泄（10年7問・7/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::排泄 第102回
【第102回 問42】薬剤・吸収・膜透過<br><br>二次性能動輸送の駆動力となるイオン濃度勾配を形成する一次性能動輸送担体はどれか。1つ選べ。<br><br>1. Na□,K□-ATPase<br>2. Na□/グルコース共輸送体<br>3. Na□/H□交換輸送体<br>4. P-糖タンパク質<br>5. H□/ペプチド共輸送体	<b>正答：1</b><br>Na□,K□-ATPase<br><br>テーマ：吸収・膜透過（10年28問・10/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::吸収_膜透過 第102回
【第102回 問43】薬剤・代謝　📐図・構造式<br><br>ヒドロキシ基を有する薬物（R-OH）のグルクロン酸抱合体を示す化学構造はどれか。1つ選べ。 O R O S OH O CO2H OH R O O HO OH O O R O CH3 O R CH3 O R H CO2H N □ 15□<br><br>※図・構造式が必要な問題です	<b>正答：2</b><br><br>テーマ：代謝（10年14問・10/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::代謝 第102回 flag::図
【第102回 問44】薬剤・薬物動態パラメータ・計算　🔢計算 📐図・構造式<br><br>薬物を点滴静注したとき、定常状態における血中薬物濃度は2μg/mL であった。また、その時の尿中薬物濃度は200μg/mL であり、尿量は1mL/min であった。この薬物の腎クリアランス（mL/min）に最も近い値はどれか。1つ選べ。1 2 2 10 3 100 4 200 5 400<br><br>※図・構造式が必要な問題です	<b>正答：3</b><br><br>テーマ：薬物動態パラメータ・計算（10年26問・10/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::薬物動態パラメータ_計算 第102回 flag::計算 flag::図
【第102回 問45】薬剤・薬物動態パラメータ・計算<br><br>一般に、高齢者において増大するのはどれか。1つ選べ。<br><br>1. 胃内容排出速度<br>2. 血漿中アルブミン濃度<br>3. 脂溶性薬物の体重あたりの分布容積<br>4. 肝臓での薬物代謝活性<br>5. 糸球体ろ過速度	<b>正答：3</b><br>脂溶性薬物の体重あたりの分布容積<br><br>テーマ：薬物動態パラメータ・計算（10年26問・10/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::薬物動態パラメータ_計算 第102回
【第102回 問46】薬剤・薬物動態パラメータ・計算<br><br>患者のクレアチニンクリアランスに基づいて投与設計が行われる治療薬物モニタリング（TDM）対象薬はどれか。1つ選べ。<br><br>1. テオフィリン<br>2. テイコプラニン<br>3. セファレキシン<br>4. シンバスタチン<br>5. リドカイン	<b>正答：2</b><br>テイコプラニン<br><br>テーマ：薬物動態パラメータ・計算（10年26問・10/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::薬物動態パラメータ_計算 第102回
【第102回 問47】薬剤・薬物動態パラメータ・計算<br><br>腎尿細管分泌過程に飽和がみられる薬物において、投与量の増大に伴い値が低下するのはどれか。1つ選べ。<br><br>1. 血中濃度時間曲線下面積/投与量<br>2. 腎クリアランス<br>3. 消失半減期<br>4. 平□滞留時間<br>5. 血中非結合形分率 □ 16□	<b>正答：2</b><br>腎クリアランス<br><br>テーマ：薬物動態パラメータ・計算（10年26問・10/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::薬物動態パラメータ_計算 第102回
【第102回 問48】薬剤・薬物動態パラメータ・計算<br><br>肝代謝と腎排泄により体内から消失する薬物について、全身クリアランス（CL□□□）、腎クリアランス（CL□）及び肝血流速度（Q□）から肝抽出率を算出する式はどれか。1つ選べ。 CL□□□ □□□ Q□ − CL□ CL□□□− CL□ □□□□□□□ Q□ Q□ □□□□□□□ CL□□□− CL□ 4 1− CL□□□− CL□ □□□□□□□ Q□ 5 1− Q□ □□□□□□□ CL□□□− CL□ □ 17□<br><br>※図・構造式が必要な問題です	<b>正答：2</b><br><br>テーマ：薬物動態パラメータ・計算（10年26問・10/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::薬物動態パラメータ_計算 第102回
【第102回 問49】薬剤・DDS・放出制御　📐図・構造式<br><br>下図のような拡散制御膜において、溶質分子が単位時間に透過する物質量と反比例の関係にあるのはどれか。1つ選べ。ドナー溶液膜レセプター溶液 □□□：ドナー溶液の濃度 □□：ドナー溶液と接する面の膜中濃度 □□：レセプター溶液と接する面の膜中濃度 □□□□：レセプター溶液の濃度 □□ □□□ 度濃の質溶 □□ □□□□ 厚さ<br><br>1. 溶質の膜中での濃度差（C□− C□）<br>2. 溶質の膜中での拡散係数<br>3. 溶質の分配係数（C□/C□□）<br>4. 膜の厚さ<br>5. 膜の有効表面積	<b>正答：4</b><br>膜の厚さ<br><br>テーマ：DDS・放出制御（10年7問・5/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::DDS_放出制御 第102回 flag::図
【第102回 問50】薬剤・製剤材料の物性<br><br>エマルションの分散媒と分散相の密度差により、分散相が浮上する現象はどれか。1つ選べ。<br><br>1. 凝集<br>2. 塩析<br>3. 合一<br>4. クリーミング<br>5. ケーキング □ 18□	<b>正答：4</b><br>クリーミング<br><br>テーマ：製剤材料の物性（10年35問・10/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::製剤材料の物性 第102回
【第102回 問51】薬剤・製剤材料の物性　🔢計算<br><br>以下のレオグラムのＡ点から求められるのはどれか。1つ選べ。度速断んせ A せん断応力<br><br>1. ヤング率<br>2. 降伏値<br>3. チキソトロピー<br>4. 動粘度<br>5. 弾性率	<b>正答：2</b><br>降伏値<br><br>テーマ：製剤材料の物性（10年35問・10/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::製剤材料の物性 第102回 flag::計算
【第102回 問52】薬剤・製剤材料の物性　⚠️否定形<br><br>医薬品を造粒する目的として誤っているのはどれか。1つ選べ。<br><br>1. 流動性の向上<br>2. 含量□一性の改善<br>3. 真密度の増大<br>4. 充てん性の向上<br>5. 発塵の防止	<b>正答：3</b><br>真密度の増大<br><br>テーマ：製剤材料の物性（10年35問・10/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::製剤材料の物性 第102回 flag::否定形
【第102回 問53】薬剤・製剤材料の物性<br><br>粉末Ｘ線回折測定法により評価される医薬品の物性はどれか。1つ選べ。<br><br>1. 比表面積<br>2. 空隙率<br>3. 結晶性<br>4. 吸湿性<br>5. 旋光度	<b>正答：3</b><br>結晶性<br><br>テーマ：製剤材料の物性（10年35問・10/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::製剤材料の物性 第102回
【第102回 問54】薬剤・吸収・膜透過<br><br>経口投与する固形製剤の著しい生物学的非同等性を防ぐことを目的として実施される一般試験法はどれか。1つ選べ。<br><br>1. 制酸力試験法<br>2. 製剤□一性試験法<br>3. 崩壊試験法<br>4. 溶出試験法<br>5. 消化力試験法 □ 19□	<b>正答：4</b><br>溶出試験法<br><br>テーマ：吸収・膜透過（10年28問・10/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::吸収_膜透過 第102回
【第102回 問55】薬剤・製剤各論・製剤総則<br><br>腸溶性製剤に関する記述のうち、適切なのはどれか。1つ選べ。<br><br>1. 有効成分の血液中での分解を防ぐことができる。<br>2. 有効成分の胃に対する刺激作用を低減できる。<br>3. 体温によって溶融し、薬物を放出する。<br>4. ペプシン分解性の基剤でコーティングされている。<br>5. 即放性製剤に分類される。 □ 20□	<b>正答：2</b><br>有効成分の胃に対する刺激作用を低減できる。<br><br>テーマ：製剤各論・製剤総則（10年13問・8/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::製剤各論_製剤総則 第102回
